Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
Massachusetts,,,42,Wholesale trade,,,Wholesale Trade,,2012,"8,061","182,172,565","10,304,442","2,592,174","139,520","7,171","706,935"
Massachusetts,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"6,619","123,904,370","8,035,067","1,991,834","114,195",N,N
Massachusetts,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,400,"36,800,838","1,638,655","453,998","15,759",N,N
Massachusetts,,,44-45,Retail trade,,,Total,,2012,"24,311","92,915,380","9,161,733","2,225,018","351,598","30,474","1,683,816"
Massachusetts,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"3,558","10,652,686","3,173,044","780,806","77,843","16,504","814,293"
Massachusetts,,,51,Information,,,Total,,2012,"3,673",N,"10,520,952","2,890,552","115,614","8,059","275,497"
Massachusetts,,,52,Finance and insurance,,,Total,,2012,"9,384",N,"22,940,451","7,095,754","202,811","14,196","1,243,355"
Massachusetts,,,53,Real estate and rental and leasing,,,Total,,2012,"6,485","13,628,359","2,357,878","572,809","42,788","51,833","5,529,594"
Massachusetts,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"21,422","60,370,010","23,826,500","6,058,488","255,022","96,652","4,800,603"
Massachusetts,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"21,203","57,979,049","22,938,713","5,832,785","243,993",N,N
Massachusetts,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,219,"2,390,961","887,787","225,703","11,029",N,N
Massachusetts,,,55,Management of companies and enterprises,,,Total,,2012,"1,218","2,673,867","9,913,757","2,771,102","97,602",N,N
Massachusetts,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"9,998","17,667,541","7,794,234","1,837,792","192,242","33,740","939,990"
Massachusetts,,,61,Educational services,,,All establishments,,2012,"2,180","2,106,023","650,745","154,632","22,879","20,505","307,925"
Massachusetts,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,688","1,290,470","421,193","99,637","16,070",N,N
Massachusetts,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,492,"815,553","229,552","54,995","6,809",N,N
Massachusetts,,,62,Health care and social assistance,,,All establishments,,2012,"18,386","63,583,090","27,696,702","6,789,922","587,485","41,070","1,603,643"
Massachusetts,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"13,136","26,638,974","12,208,983","2,856,381","237,631",N,N
Massachusetts,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"5,250","36,944,116","15,487,719","3,933,541","349,854",N,N
Massachusetts,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"3,130","5,012,428","1,788,325","393,270","55,585","33,524","757,688"
Massachusetts,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"2,277","3,412,322","1,261,800","278,840","35,108",N,N
Massachusetts,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,853,"1,600,106","526,525","114,430","20,477",N,N
Massachusetts,,,72,Accommodation and food services,,,Total,,2012,"16,898","17,508,975","5,019,795","1,166,816","273,185","5,353","258,659"
Massachusetts,,,81,Other services (except public administration),,,All establishments,,2012,"14,008","10,455,103","2,931,269","709,760","93,489","54,450","1,667,474"
Massachusetts,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"11,154","5,985,380","1,892,197","455,676","67,531",N,N
Massachusetts,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,854","4,469,723","1,039,072","254,084","25,958",N,N
Michigan,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,329,"3,085,980","372,935",N,"6,352","2,544","118,668"
Michigan,,,22,Utilities,,,Total,,2012,389,Q,"2,030,234","573,513","23,036",327,"15,663"
Michigan,,,23,Construction,,,Total,,2012,"16,129","32,550,088","6,373,120","1,318,882","131,793","73,346","3,580,578"
Michigan,,,42,Wholesale trade,,,Wholesale Trade,,2012,"11,489","254,318,884","9,800,202","2,355,393","166,238","11,622","973,190"
Michigan,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"9,392","115,704,903","7,474,643","1,756,106","132,490",N,N
Michigan,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,611,"117,214,384","1,844,789","487,842","21,873",N,N
Michigan,,,44-45,Retail trade,,,Total,,2012,"34,858","119,302,046","10,527,301","2,526,943","441,190","58,554","2,262,495"
Michigan,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"5,699","20,033,344","4,525,164","1,113,501","106,324","26,999","1,766,076"
Michigan,,,51,Information,,,Total,,2012,"3,294",N,"4,348,608","1,136,663","67,232","8,240","232,333"
Michigan,,,52,Finance and insurance,,,Total,,2012,"13,181",N,"9,757,034","2,607,996","151,712","18,481","1,268,181"
Michigan,,,53,Real estate and rental and leasing,,,Total,,2012,"7,826","11,974,477","1,806,865","439,279","48,706","71,526","6,484,428"
Michigan,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"21,650",D,D,D,m,"84,381","3,217,716"
Michigan,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"21,532","34,273,472","15,936,835","3,787,247","238,884",N,N
Michigan,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,118,D,D,D,g,N,N
Michigan,,,55,Management of companies and enterprises,,,Total,,2012,"1,551","9,401,909","10,083,396","2,760,164","99,327",N,N
Michigan,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"11,260","18,585,943","9,251,982","2,134,444","314,917","58,527","1,220,892"
Michigan,,,61,Educational services,,,All establishments,,2012,"1,674",D,D,D,j,"19,206","247,507"
Michigan,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,395","909,824","320,176","74,914","12,186",N,N
Michigan,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,279,D,D,D,g,N,N
Michigan,,,62,Health care and social assistance,,,All establishments,,2012,"26,231","63,018,786","25,556,458","6,025,433","585,530","68,433","1,768,564"
Michigan,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"21,447","27,434,620","11,943,925","2,684,334","270,655",N,N
Michigan,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"4,784","35,584,166","13,612,533","3,341,099","314,875",N,N
Michigan,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"3,369","3,708,850","1,415,939","280,774","46,255","33,461","649,780"
Michigan,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"2,706","2,881,481","1,119,891","217,757","32,268",N,N
Michigan,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,663,"827,369","296,048","63,017","13,987",N,N
Michigan,,,72,Accommodation and food services,,,Total,,2012,"19,491","17,962,356","4,871,665","1,148,502","347,337","9,695","451,593"
Michigan,,,81,Other services (except public administration),,,All establishments,,2012,"15,919","10,407,682","2,719,947","653,835","96,150","124,133","2,655,964"
Michigan,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"13,062","6,509,169","1,982,422","474,124","75,714",N,N
Michigan,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,857","3,898,513","737,525","179,711","20,436",N,N
Minnesota,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,144,"3,972,609","427,199",N,"6,383",186,"9,677"
Minnesota,,,22,Utilities,,,Total,,2012,320,Q,"1,218,248","347,040","12,802",358,"24,438"
Minnesota,,,23,Construction,,,Total,,2012,"14,623","32,945,993","6,064,183","1,222,939","113,683","40,943","2,266,945"
Minnesota,,,42,Wholesale trade,,,Wholesale Trade,,2012,"8,298","167,376,338","9,335,023","2,310,408","134,596","6,904","503,668"
Minnesota,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"6,569","104,485,117","7,170,135","1,762,588","108,467",N,N
Minnesota,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,428,"43,886,516","1,726,307","445,887","19,562",N,N
Minnesota,,,44-45,Retail trade,,,Total,,2012,"19,109","78,898,182","6,857,512","1,653,812","288,888","37,846","1,310,976"
Minnesota,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"4,617","14,947,514","3,334,532","830,915","82,311","19,663","1,451,662"
Minnesota,,,51,Information,,,Total,,2012,"2,655",N,"4,533,774","1,165,048","63,187","5,453","157,749"
Minnesota,,,52,Finance and insurance,,,Total,,2012,"9,266",N,"13,449,805","4,267,224","157,494","13,902","971,955"
Minnesota,,,53,Real estate and rental and leasing,,,Total,,2012,"6,300","7,827,859","1,395,970","337,847","34,499","40,350","4,106,451"
Minnesota,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"16,348","23,449,118","9,739,309","2,288,390","140,927","58,809","2,116,824"
Minnesota,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"16,260",D,D,D,m,N,N
Minnesota,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,88,D,D,D,j,N,N
Minnesota,,,55,Management of companies and enterprises,,,Total,,2012,"1,224","2,072,984","11,237,528","2,838,705","114,055",N,N
Minnesota,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"7,238","11,124,284","5,333,020","1,262,040","162,828","25,308","561,275"
Minnesota,,,61,Educational services,,,All establishments,,2012,"1,275","843,350","280,251","66,367","11,961","11,889","150,431"
Minnesota,,,61,Educational services,,,Establishments subject to federal income tax,,2012,990,"640,512","204,250","48,117","8,442",N,N
Minnesota,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,285,"202,838","76,001","18,250","3,519",N,N
Minnesota,,,62,Health care and social assistance,,,All establishments,,2012,"15,107","40,403,572","17,514,373","4,214,409","440,195","32,033","895,015"
Minnesota,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"11,233","15,774,381","7,258,891","1,689,482","189,308",N,N
Minnesota,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"3,874","24,629,191","10,255,482","2,524,927","250,887",N,N
Minnesota,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,714","3,127,278","1,190,744","283,405","42,320","27,300","463,717"
Minnesota,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,927","2,355,795","917,692","220,596","27,308",N,N
Minnesota,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,787,"771,483","273,052","62,809","15,012",N,N
Minnesota,,,72,Accommodation and food services,,,Total,,2012,"11,345","11,722,627","3,238,017","773,936","221,859","3,945","188,461"
Minnesota,,,81,Other services (except public administration),,,All establishments,,2012,"10,832","7,877,283","2,017,079","485,832","72,715","50,874","1,302,138"
Minnesota,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"8,286","4,542,278","1,382,910","329,685","51,746",N,N
Minnesota,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,546","3,335,005","634,169","156,147","20,969",N,N
Mississippi,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,330,"4,200,586","473,114",N,"6,903","1,788","132,405"
Mississippi,,,22,Utilities,,,Total,,2012,592,Q,"607,227","177,446","8,803",278,"9,520"
Mississippi,,,23,Construction,,,Total,,2012,"3,738","8,861,233","1,705,170","401,515","41,541","26,826","1,322,116"
Mississippi,,,42,Wholesale trade,,,Wholesale Trade,,2012,"2,858","35,522,572","1,582,708","387,531","34,757","2,973","229,867"
Mississippi,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"2,484","28,302,952","1,373,590","335,767","30,351",N,N
Mississippi,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,175,"5,071,972","173,180","43,152","3,122",N,N
Mississippi,,,44-45,Retail trade,,,Total,,2012,"11,594","37,053,190","2,968,401","730,700","136,032","16,844","858,021"
Mississippi,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"2,019","4,273,385","1,303,347","314,076","33,100","9,102","704,060"
Mississippi,,,51,Information,,,Total,,2012,926,N,"604,811","154,697","13,879","1,535","38,650"
Mississippi,,,52,Finance and insurance,,,Total,,2012,"4,692",N,"1,633,828","418,375","34,472","6,227","333,553"
Mississippi,,,53,Real estate and rental and leasing,,,Total,,2012,"2,374","1,709,316","334,052","84,027","10,235","14,311","1,203,587"
Mississippi,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"4,747","4,023,334","1,449,931","351,894","30,205","17,399","649,675"
Mississippi,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"4,727","4,009,106","1,443,345","350,296","30,071",N,N
Mississippi,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,20,"14,228","6,586","1,598",134,N,N
Mississippi,,,55,Management of companies and enterprises,,,Total,,2012,339,"563,858","549,911","136,151","7,795",N,N
Mississippi,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"2,215","2,433,602","1,130,364","270,073","47,990","22,957","359,292"
Mississippi,,,61,Educational services,,,All establishments,,2012,284,"138,445","40,770","10,021","1,870","3,823","45,368"
Mississippi,,,61,Educational services,,,Establishments subject to federal income tax,,2012,232,"118,638","34,610","8,539","1,573",N,N
Mississippi,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,52,"19,807","6,160","1,482",297,N,N
